no;RES_ID;LABEL;RESPONSE
1;TRA1;1;intetraksi/beradaptasi terhadap lingkungan yang baru.
2;TRA2;0;seperti jatuhnya meteor tsunami gempa bumi
3;TRA3;0;hanya tuhan yang tahu tantangan nya itu apaan
4;TRA4;1;mereka akan sulit beradaptasi
5;TRA5;1;Tempat tinggal, ekonomi, dan pekerjaan
6;TRA6;1;akan terganggu dengan kesehatanya karena merekanperlu beradaptasi dengan lingkungan yang baru.
7;TRA7;0;Mereka tidak akan di hormati oleh orang layaknya mereka di hormati di dalam tempat tinggal mereka yang lama
8;TRA8;1;mereka akan kehilangan lahan pertanian.
9;TRA9;0;"Pada kasus-kasus seperti salah satunya yang terjadi di Travina, warga mungkin dipaksa untuk menjadi ""pengungsi iklim”. Pengungsi iklim adalah orang-orang yang terpaksa meninggalkan komunitas atau negaranya karena bencana lingkungan."
10;TRA10;0;mendapat musibah dan melawannya
11;TRA11;1;karena mereka butuh tempat tinggal baru
12;TRA12;0;Akan kehilangan tempat tinggal yang lama atau komunitas karena bencana alam.
13;TRA13;0;mereka akan pindah ke tempat yang dulu
14;TRA14;1;beradaptasi
15;TRA15;0;Pengungsi iklim ini orang-orang yang terpaksa meninggalkan komunitas atau negaranya karena bencana lingkungan.
16;TRA16;0;karna mereka tidak mau terkena iklim yang sangat beser
17;TRA17;1;keadaan yg tidak memadai serta kurangnya fasilitas di tempat pengungsian kegiatan jadi tidak dapat dilakukan seperti biasanya maknanya mereka tidak bebas melakukan sesuatu
18;TRA18;0;Pengungsi iklim adalah orang-orang yang terpaksa meninggalkan komunitas atau negaranya karena bencana lingkungan.
19;TRA19;0;fkjgrioejtklejtdfljlkgr
20;TRA20;0;merasa aneh
21;TRA21;1;satu tantangan yang akan dihadapi pengungsi adalah kehilangan pekerjaan mereka yaitu pekerjaan bertani atau nelayan dan itulah salah satu pencaharian mereka selama menetap di Travina.
22;TRA22;0;akan terjadinya perubahan tempat
23;TRA23;0;karena,akan ada bencana alam yang akan datang
24;TRA24;1;Mereka perlu adaptasi dan harus rela berpisah dengan tembat lamanya yang kemungkinan lahan tersebut akan hilang
25;TRA25;1;tidak terjamin dengan semua kebutuhannya, dan sulit untuk beradaptasi dengan tempat baru
26;TRA26;0;orang-orang yang trpaksa meninggalkan komunitas atau negaranya karna bercanda lingkungan
27;TRA27;1;Mereka tidak akan mudah menyesuaikan hidup mereka di tempat baru
28;TRA28;1;mereka akan kehilangan sebagian besar atau bahkan semua lahan pertanian mereka
29;TRA29;1;tidak mempunyai tempat yang tetap
30;TRA30;1;masalah yang dapatdidapatkan oleh pengngungsi itu adalah penggunaan bahasa, dan pencarian lapangan kerja, tempat tinggal.
31;TRA31;1;mereka akan kehilangan lahan pertanian sektor pariwisata dan perikanan dan tempat tinggal mereka.
32;TRA32;0;penderitaan panas nya cuaca iklim
33;TRA33;0;Warga di Travina akan mengalami bencana yang besar dan disebabkan oleh perubahan iklim .
34;TRA34;0;MEREKA AKAN MENINGGALKAN NEGARANYA, DAN MEREKA AKAN MENJADI PUENGUNGSI YANG MEMBUTUHKAN BANTUAN DARI NEGARA LAIN, MEREKA JUGA MEMBUTUHKAN NEGARA MANA YANG HARUS MENJADI PENGUNGSI
35;TRA35;1;tantanganya adalah mereka harus beradapatsi lagi dengan lingkungan barunya.
36;TRA36;1;akan terjadi lama proses adaptasi yang dilakukan oleh para pengunsi iklim tersebut.
37;TRA37;0;komunitas dan negara
38;TRA38;1;Tantangan pengungsi iklim adalah lahan pekerjaan yang ia tempati dulu akan hilang, karena ia harus meninggalkan negaranya karena bencana lingkungan yang ada di negaranya.
39;TRA39;1;beradaptasi dengan lingkungan yang baru
40;TRA40;0;tantanganya adalah akan meninggalkan tempat tinggal dan perkebunan yang dimiliki
41;TRA41;0;sulit mencari lahan pertanian
42;TRA42;1;Harus mencari tempat untuk bekerja, membangun rumah dan berkenalan dengan orang asing
43;TRA43;1;penyesuaian lingkungan dan masalah imigrasi, seperti amerika yang menolak imigran/pendatang dari luar
44;TRA44;1;kehilangan segalanya
45;TRA45;1;sebagian dari mereka akan kehilangan lahan dan keluarganya.
46;TRA46;1;sulit beradaptasi dengan wilayah barunya
47;TRA47;1;ia susah untuk beradaptasi
48;TRA48;1;Mereka harus bisa beradaptasi dengan lingkungan barunya.
49;TRA49;0;kalau tidak pindah kita terkena bencana
50;TRA50;1;penguisi iklim adalah orang orang yang terpaksa meningalkan komunikasi atau negaranya karena karena beencna
51;TRA51;1;mereka harus beradaptasi dengan tempat tersebut dan harus merelakan rumah dan harta nya tengelam
52;TRA52;1;tantangan yang pasti akan dihadapi oleh orang-orang Travina menjadi pengungsi iklim adalah harusnya berbaur dengan baik sesuai dengan aturan dan tatanan yang ada ditempat baru yang akan ditinggali
53;TRA53;0;pengungsi iklim
54;TRA54;1;Mereka akan beradaptasi dengan tempat mereka yang baru, dan mereka harus menerima keadaan tempat mereka yang baru serta menjalani cara hidup yang baru ditempat tersebut
55;TRA55;1;akan kehilangan komunitas dan negaranya
56;TRA56;0;kehidupan yang tidak sama dengan kehidupan yang biasa mereka jalani di negaranya
57;TRA57;1;mereka harus rela kehilangan tempat tinggal yang mereka miliki sebelumnya karena pengaruh bencana alam yang tidak dapat dilewati
58;TRA58;1;mereka harus mengusahakan tempat mereka pindah untuk bertahan hidup dan harus menyesuaikan diri dengan lingkungan baru mereka
59;TRA59;1;Warga Travina tidak betah untuk tinggal di tempat lain bukan tempat asalnya ,tidur pun suka tidak nyenyak dan makanan pun tidak sebanyak di tempat tinggal dulu ,mandi pun harus rela mengantri dengan pengungsi iklim lainnya
60;TRA60;1;mereka harus memulai lingkungan yang baru, beradaptasi dengan lingkungan mereka yang baru, dan membangun rumah atau pertanian di tempat baru tersebut
61;TRA61;1;Mereka akan susah beradaptasi pada lingkungan yang baru dan mereka akan susah mendapat keahlian yang dibutuhkan di tempat yang baru
62;TRA62;1;mereka harus beradaptasi dengan tampat baru yang mereka akan tinggal,memulai hidup baru mereka juga akan sangat sulit mendapatkan pekerjaan
63;TRA63;1;mereka akan kesusahan dalam mencari kerja,mencari usaha dan lain lain.
64;TRA64;1;masalah tempat tingal dan barang berharga
65;TRA65;1;ketidak nyamanan berpindah
66;TRA66;1;mareka merasakan sesuatu yang tidak enak karna meningalkan nerara ,keluarga,DAN lain-lain
67;TRA67;1;mereka harus memulai hidup baru dan harus tinggal dengan keadaan yang berbeda dari sebelumnya.
68;TRA68;0;berwaspada
